Unnamed: 0,Address,count,Sector
0,"Palam Vihar, Gurgaon",59,Sector 2
1,"Block C, Sushant Lok Phase 1, Gurgaon",56,Sector 43
2,"Sushant Lok 3 Extension, Gurgaon",54,Sector 57
3,"DLF Phase 2, Gurgaon",52,Sector 25
4,"DLF Phase 1, Gurgaon",52,Sector 26
5,"Signature Global Park
Sohna, Gurgaon",51,Sector 36
6,"Luxury Builder floor In South City 2
South City 2, Gurgaon",49,Sector 49
7,"Unitech Fresco
Nirvana Country, Gurgaon",46,Sector 50
8,"Sushant Lok 1 Builder Floors
Sushant Lok Phase 1, Gurgaon",43,Sector 43
9,"South City 2, Gurgaon",40,Sector 49
